Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
851,GO-2017202856,2017,D31,Shooting,1485925200000,25,Glenfield-Jane Heights (25),43.7548561,-79.5170746,152
852,GO-2017222142,2017,D54,Shooting,1486270800000,66,Danforth (66),43.6828117,-79.3429718,153
853,GO-2017233559,2017,D23,Shooting,1486357200000,5,Elms-Old Rexdale (5),43.7165527,-79.5523682,154
854,GO-2017233897,2017,D32,Other,1486357200000,37,Willowdale West (37),43.7748947,-79.4155807,155
855,GO-2017291986,2017,D54,Other,1487221200000,54,O'Connor-Parkview (54),43.7022209,-79.297287,156
856,GO-201594334,2015,D23,Other,1421384400000,1,West Humber-Clairville (1),43.7420998,-79.5951614,157
857,GO-2017352942,2017,D53,Shooting,1487998800000,55,Thorncliffe Park (55),43.7074776,-79.3436279,158
858,GO-2016838159,2016,D23,Shooting,1463284800000,1,West Humber-Clairville (1),43.7320251,-79.5894241,159
859,GO-2017468897,2017,D42,Shooting,1489636800000,131,Rouge (131),43.8102036,-79.1846695,160
860,GO-2017486409,2017,D54,Shooting,1489809600000,61,Taylor-Massey (61),43.7016792,-79.2954559,161
861,GO-2017564412,2017,D11,Shooting,1490932800000,8,Humber Heights-Westmount (8),43.6912231,-79.519722,162
862,GO-2017662074,2017,D42,Shooting,1492142400000,117,L'Amoreaux (117),43.7974548,-79.3309326,163
863,GO-2017674351,2017,D55,Shooting,1492142400000,70,South Riverdale (70),43.6600876,-79.3444595,164
864,GO-2017703097,2017,D13,Shooting,1492747200000,108,Briar Hill-Belgravia (108),43.6979179,-79.4511414,165
865,GO-2017402242,2017,D55,Other,1488603600000,68,North Riverdale (68),43.6654854,-79.3554077,166
866,GO-2017904599,2017,D55,Shooting,1495425600000,70,South Riverdale (70),43.6670952,-79.345192,167
867,GO-20171007434,2017,D12,Other,1496808000000,110,Keelesdale-Eglinton West (110),43.6883698,-79.4828796,168
868,GO-20171035511,2017,D31,Shooting,1497153600000,22,Humbermede (22),43.7476883,-79.5572815,169
869,GO-20171118832,2017,D11,Stabbing,1498190400000,93,Dovercourt-Wallace Emerson-Junction (93),43.6672173,-79.4441757,170
870,GO-20171184598,2017,D51,Shooting,1498968000000,72,Regent Park (72),43.66045,-79.364769,171
871,GO-20171319697,2017,D42,Shooting,1500782400000,131,Rouge (131),43.8133163,-79.1991959,172
872,GO-20171319697,2017,D42,Shooting,1500782400000,131,Rouge (131),43.8133163,-79.1991959,173
873,GO-20171323827,2017,D42,Shooting,1500782400000,132,Malvern (132),43.810276,-79.2105103,174
874,GO-20171371751,2017,D32,Shooting,1501387200000,31,Yorkdale-Glen Park (31),43.7140884,-79.4547501,175
875,GO-20171378728,2017,D51,Shooting,1501473600000,73,Moss Park (73),43.6545258,-79.3694611,176
876,GO-20171379055,2017,D13,Shooting,1501560000000,106,Humewood-Cedarvale (106),43.6861954,-79.4208679,177
877,GO-20171377317,2017,D54,Stabbing,1501473600000,57,Broadview North (57),43.6895103,-79.3536606,178
878,GO-20171499040,2017,D31,Stabbing,1502942400000,27,York University Heights (27),43.759285,-79.5079269,179
879,GO-2017904599,2017,D55,Other,1495425600000,70,South Riverdale (70),43.6670952,-79.345192,180
880,GO-20171503946,2017,D14,Shooting,1503201600000,79,University (79),43.656723,-79.406517,181
881,GO-20171516247,2017,D31,Stabbing,1503374400000,25,Glenfield-Jane Heights (25),43.7491493,-79.515686,182
882,GO-20171578601,2017,D31,Shooting,1504152000000,26,Downsview-Roding-CFB (26),43.7198334,-79.5138016,183
883,GO-20171592166,2017,D23,Shooting,1504324800000,5,Elms-Old Rexdale (5),43.7276535,-79.5495377,184
884,GO-20171593482,2017,D43,Stabbing,1504670400000,138,Eglinton East (138),43.73946,-79.2455292,185
885,GO-20171661261,2017,D33,Stabbing,1505275200000,53,Henry Farm (53),43.7693024,-79.3431091,186
886,GO-20171663919,2017,D41,Shooting,1505361600000,126,Dorset Park (126),43.7689018,-79.285553,187
887,GO-20171677843,2017,D51,Shooting,1505534400000,72,Regent Park (72),43.6634293,-79.3603287,188
888,GO-20171682920,2017,D52,Shooting,1505534400000,77,Waterfront Communities-The Island (77),43.6480103,-79.3863678,189
889,GO-20171640198,2017,D41,Stabbing,1505016000000,122,Birchcliffe-Cliffside (122),43.6981697,-79.2644653,190
890,GO-20171770154,2017,D31,Shooting,1506657600000,26,Downsview-Roding-CFB (26),43.7198334,-79.5138016,191
891,GO-20171778161,2017,D51,Shooting,1506830400000,70,South Riverdale (70),43.6430931,-79.3506165,192
892,GO-20171778161,2017,D51,Shooting,1506830400000,70,South Riverdale (70),43.6430931,-79.3506165,193
893,GO-20171807017,2017,D23,Shooting,1507176000000,6,Kingsview Village-The Westway (6),43.6944733,-79.5484695,194
894,GO-20171798506,2017,D23,Other,1507089600000,4,Rexdale-Kipling (4),43.7265511,-79.5702362,195
895,GO-20171821632,2017,D54,Stabbing,1507348800000,60,Woodbine-Lumsden (60),43.6975288,-79.3159485,196
896,GO-20171828016,2017,D23,Shooting,1507435200000,6,Kingsview Village-The Westway (6),43.6987343,-79.5522308,197
897,GO-20171864268,2017,D31,Shooting,1507953600000,21,Humber Summit (21),43.751442,-79.5529861,198
898,GO-20171897265,2017,D53,Stabbing,1508472000000,55,Thorncliffe Park (55),43.7074776,-79.3436279,199
899,GO-20171856631,2017,D14,Other,1507867200000,93,Dovercourt-Wallace Emerson-Junction (93),43.6677628,-79.4254379,200
900,GO-20171954551,2017,D54,Stabbing,1509163200000,43,Victoria Village (43),43.7159882,-79.3049393,201
102,1041793,2005,D23,Shooting,1123041600000,2,Mount Olive-Silverstone-Jamestown (2),43.7339706,-79.5826111,202
103,1102449,2005,D42,Shooting,1123214400000,117,L'Amoreaux (117),43.7981796,-79.3331299,203
104,1068304,2005,D51,Shooting,1123387200000,71,Cabbagetown-South St.James Town (71),43.665741,-79.3755188,204
105,1068304,2005,D51,Shooting,1123387200000,71,Cabbagetown-South St.James Town (71),43.665741,-79.3755188,205
106,985817,2005,D23,Shooting,1123905600000,8,Humber Heights-Westmount (8),43.6958237,-79.5205917,206
107,1156816,2005,D51,Shooting,1124078400000,71,Cabbagetown-South St.James Town (71),43.6670952,-79.3746796,207
108,1072514,2005,D54,Shooting,1124164800000,44,Flemingdon Park (44),43.7187347,-79.3349533,208
109,117846,2005,D41,Other,1124337600000,127,Bendale (127),43.7581253,-79.2666245,209
110,1183577,2005,D22,Other,1124510400000,18,New Toronto (18),43.6030045,-79.5074844,210
111,1189864,2005,D42,Shooting,1124942400000,139,Scarborough Village (139),43.742836,-79.2205582,211
112,761120,2005,D31,Shooting,1125374400000,25,Glenfield-Jane Heights (25),43.7391281,-79.5095215,212
113,1178414,2005,D51,Other,1125460800000,73,Moss Park (73),43.6561661,-79.3701248,213
114,1389771,2005,D33,Stabbing,1125979200000,42,Banbury-Don Mills (42),43.7402763,-79.3436584,214
115,1101797,2005,D31,Shooting,1126152000000,28,Rustic (28),43.7049217,-79.5022736,215
116,739598,2005,D14,Shooting,1126238400000,82,Niagara (82),43.6352386,-79.3992004,216
117,1096519,2005,D31,Shooting,1126324800000,24,Black Creek (24),43.7672119,-79.5147705,217
118,1203047,2005,D31,Shooting,1126584000000,25,Glenfield-Jane Heights (25),43.7518959,-79.5163422,218
119,1139553,2005,D14,Shooting,1126843200000,85,South Parkdale (85),43.6374626,-79.4347229,219
120,1156513,2005,D23,Shooting,1126843200000,5,Elms-Old Rexdale (5),43.7272911,-79.5493622,220
121,1156513,2005,D23,Shooting,1126843200000,5,Elms-Old Rexdale (5),43.7272911,-79.5493622,221
122,1156513,2005,D23,Shooting,1126843200000,5,Elms-Old Rexdale (5),43.7272911,-79.5493622,222
123,1228892,2005,D54,Other,1127361600000,58,Old East York (58),43.6945457,-79.3352661,223
124,1141576,2005,D42,Stabbing,1128139200000,136,West Hill (136),43.7703972,-79.1626282,224
125,1325246,2005,D23,Shooting,1129953600000,2,Mount Olive-Silverstone-Jamestown (2),43.7386971,-79.5885315,225
126,1265274,2005,D23,Shooting,1130040000000,2,Mount Olive-Silverstone-Jamestown (2),43.7367744,-79.5917053,226
127,1265274,2005,D23,Shooting,1130040000000,2,Mount Olive-Silverstone-Jamestown (2),43.7367744,-79.5917053,227
128,1317338,2005,D42,Shooting,1130821200000,117,L'Amoreaux (117),43.7981796,-79.3331299,228
129,1345445,2005,D13,Shooting,1131512400000,108,Briar Hill-Belgravia (108),43.6973038,-79.4427948,229
130,1356083,2005,D32,Stabbing,1131771600000,51,Willowdale East (51),43.7565041,-79.4065704,230
131,1322417,2005,D12,Shooting,1131944400000,91,Weston-Pellam Park (91),43.6807251,-79.4636307,231
132,1258191,2005,D23,Shooting,1132290000000,2,Mount Olive-Silverstone-Jamestown (2),43.741787,-79.5933151,232
133,1293148,2005,D54,Other,1130907600000,54,O'Connor-Parkview (54),43.7153091,-79.3015747,233
134,1337264,2005,D41,Stabbing,1132981200000,126,Dorset Park (126),43.7454643,-79.2779083,234
135,1428567,2005,D11,Shooting,1133240400000,93,Dovercourt-Wallace Emerson-Junction (93),43.6595802,-79.4486847,235
136,812174,2005,D31,Other,1106715600000,24,Black Creek (24),43.7732086,-79.5214233,236
137,1440086,2005,D31,Shooting,1133413200000,21,HUmber Summit (21),43.7729378,-79.5438232,237
138,1283750,2005,D14,Other,1131166800000,85,South Parkdale (85),43.6410294,-79.4345169,238
139,1439907,2005,D53,Other,1134709200000,102,Forest Hill North (102),43.7071075,-79.426857,239
140,1443414,2005,D31,Shooting,1135314000000,25,Glenfield-Jane Heights (25),43.7518578,-79.5166931,240
141,1229258,2005,D52,Shooting,1135573200000,64,Woodbine Corridor (64),43.6845245,-79.318222,241
142,1158528,2005,D32,Stabbing,1127102400000,33,Clanton Park (33),43.7361107,-79.4400864,242
143,1003568,2005,D42,Other,1106542800000,116,Steeles (116),43.8072166,-79.3321457,243
144,1426456,2006,D13,Shooting,1136091600000,108,Briar Hill-Belgravia (108),43.6962624,-79.4476852,244
145,1557753,2006,D32,Other,1138251600000,39,Bedford Park-Nortown (39),43.7351837,-79.4149246,245
146,1361475,2006,D31,Shooting,1139202000000,25,Glenfield-Jane Heights (25),43.7450676,-79.5017548,246
147,1624304,2006,D42,Stabbing,1139461200000,117,L'Amoreaux (117),43.7967033,-79.3303833,247
148,1624304,2006,D42,Stabbing,1139461200000,117,L'Amoreaux (117),43.7967033,-79.3303833,248
149,1624304,2006,D42,Stabbing,1139461200000,117,L'Amoreaux (117),43.7967033,-79.3303833,249
150,1511490,2006,D54,Stabbing,1139374800000,44,Flemingdon Park (44),43.7165565,-79.3373184,250
151,1559867,2006,D54,Other,1141275600000,61,Taylor-Massey (61),43.6928673,-79.2925186,251
152,1597252,2006,D43,Other,1141448400000,134,Highland Creek (134),43.7927246,-79.1743927,252
153,1640987,2006,D31,Shooting,1142139600000,22,Humbermede (22),43.7478828,-79.5452271,253
154,1591256,2006,D43,Shooting,1142312400000,139,Scarborough Village (139),43.7431831,-79.2189102,254
155,1479234,2006,D51,Shooting,1142830800000,74,North St.James Town (74),43.6672974,-79.3737793,255
156,1570672,2006,D12,Shooting,1143435600000,115,Mount Dennis (115),43.6875725,-79.4909134,256
157,1671071,2006,D31,Shooting,1143435600000,25,Glenfield-Jane Heights (25),43.7484741,-79.5071945,257
158,1578377,2006,D31,Other,1144382400000,21,Humber Summit (21),43.7506523,-79.5490723,258
159,1673447,2006,D31,Stabbing,1145505600000,26,Downsview-Roding-CFB (26),43.7296066,-79.4714661,259
160,1636602,2006,D33,Stabbing,1146024000000,47,Don Valley Village (47),43.7809792,-79.3443222,260
161,1473434,2006,D54,Shooting,1146283200000,44,Flemingdon Park (44),43.7190323,-79.3285294,261
162,1686110,2006,D22,Stabbing,1146283200000,18,New Toronto (18),43.6015396,-79.5088959,262
163,1439616,2006,D54,Stabbing,1146542400000,66,Danforth (66),43.6833687,-79.3236389,263
164,1506152,2006,D52,Stabbing,1147665600000,78,Kensington-Chinatown (78),43.6522675,-79.3957214,264
165,1714664,2006,D54,Other,1147838400000,61,Taylor-Massey (61),43.6925888,-79.2937241,265
166,1465047,2006,D13,Other,1148616000000,106,Humewood-Cedarvale (106),43.6861954,-79.4208679,266
167,1630473,2006,D43,Shooting,1148788800000,137,Woburn (137),43.7605743,-79.215683,267
168,1441432,2006,D12,Shooting,1149307200000,113,Weston (113),43.6956444,-79.5065842,268
169,1677509,2006,D31,Stabbing,1149307200000,26,Downsview-Roding-CFB (26),43.7428703,-79.4860001,269
