id,lat,long,occurrencedate,reporteddate,premisetype,offence,MCI,division,neighbourhood
18081,43.6460571,-79.3923264,2019-06-29,2019-06-29,Outside,Robbery - Other,Robbery,D52,Waterfront Communities-The Island (77)
18082,43.6573067,-79.3734589,2019-06-29,2019-06-29,Outside,Crim Negligence Bodily Harm,Assault,D51,Moss Park (73)
18083,43.7917213,-79.3634567,2019-06-29,2019-06-29,House,Assault,Assault,D33,Hillcrest Village (48)
18084,43.7507401,-79.5160751,2019-06-29,2019-06-29,Apartment,Assault,Assault,D31,Glenfield-Jane Heights (25)
18085,43.6563225,-79.4524536,2019-06-29,2019-06-29,Outside,Assault With Weapon,Assault,D11,High Park-Swansea (87)
18086,43.715744,-79.5047607,2019-06-29,2019-07-02,Apartment,Assault,Assault,D12,Rustic (28)
18087,43.6906395,-79.2853851,2019-06-29,2019-07-01,House,Unlawfully In Dwelling-House,Break and Enter,D41,Oakridge (121)
18088,43.7343636,-79.4839325,2019-06-29,2019-06-29,Outside,Theft Of Motor Vehicle,Auto Theft,D31,Downsview-Roding-CFB (26)
18089,43.6517677,-79.3660889,2019-06-29,2019-06-29,Commercial,B&E,Break and Enter,D51,Moss Park (73)
18090,43.7372398,-79.5653076,2019-06-29,2019-06-29,Outside,Assault,Assault,D23,Thistletown-Beaumond Heights (3)
18091,43.6501503,-79.4004974,2019-06-29,2019-06-29,Apartment,Assault,Assault,D14,Kensington-Chinatown (78)
18092,43.6673355,-79.4252625,2019-06-29,2019-06-29,Other,B&E,Break and Enter,D14,Dovercourt-Wallace Emerson-Junction (93)
18093,43.7206879,-79.2887878,2019-06-29,2019-06-29,Commercial,B&E,Break and Enter,D41,Clairlea-Birchmount (120)
18094,43.7391281,-79.5095215,2019-06-29,2019-06-29,House,Theft Of Motor Vehicle,Auto Theft,D31,Glenfield-Jane Heights (25)
18095,43.6635857,-79.4184189,2019-06-29,2019-06-29,Outside,Assault,Assault,D14,Palmerston-Little Italy (80)
18096,43.653347,-79.4015656,2019-06-29,2019-06-29,Other,Assault,Assault,D14,Kensington-Chinatown (78)
18097,43.6886597,-79.4942169,2019-06-29,2019-06-29,Apartment,Robbery - Delivery Person,Robbery,D12,Mount Dennis (115)
18098,43.6649399,-79.3845978,2019-06-29,2019-06-29,Outside,Robbery - Mugging,Robbery,D51,Bay Street Corridor (76)
18099,43.719532,-79.2593384,2019-06-30,2019-06-30,House,Assault With Weapon,Assault,D41,Kennedy Park (124)
18100,43.7777443,-79.324173,2019-06-30,2019-06-30,Apartment,Assault,Assault,D42,L'Amoreaux (117)
18101,43.7292175,-79.4341736,2019-06-30,2019-06-30,Other,Assault,Assault,D32,Englemount-Lawrence (32)
18102,43.6448898,-79.4031067,2019-06-30,2019-06-30,Commercial,Assault Bodily Harm,Assault,D14,Waterfront Communities-The Island (77)
18103,43.6387367,-79.4366074,2019-06-30,2019-06-30,Apartment,Aggravated Assault,Assault,D14,South Parkdale (85)
18104,43.7914429,-79.1820679,2019-06-30,2019-06-30,Outside,Assault,Assault,D43,Highland Creek (134)
18105,43.6590996,-79.3821182,2019-06-30,2019-06-30,Commercial,Assault,Assault,D52,Bay Street Corridor (76)
18106,43.7610664,-79.5,2019-06-30,2019-07-06,Apartment,Theft From Mail / Bag / Key,Theft Over,D31,York University Heights (27)
18107,43.6763077,-79.4505997,2019-06-30,2019-06-30,House,Assault,Assault,D13,Corso Italia-Davenport (92)
18108,43.7416115,-79.2326126,2019-06-30,2019-06-30,Apartment,Assault,Assault,D43,Eglinton East (138)
18109,43.7416115,-79.2326126,2019-06-30,2019-06-30,Apartment,Assault With Weapon,Assault,D43,Eglinton East (138)
18110,43.6761017,-79.3594208,2019-06-30,2019-06-30,Other,B&E,Break and Enter,D55,North Riverdale (68)
18111,43.6561661,-79.3701248,2019-06-30,2019-06-30,Apartment,Assault With Weapon,Assault,D51,Moss Park (73)
18112,43.7682648,-79.5229645,2019-06-30,2019-06-30,Outside,Assault With Weapon,Assault,D31,Black Creek (24)
18113,43.7795486,-79.2329788,2019-06-30,2019-06-30,Apartment,Assault,Assault,D43,Woburn (137)
18114,43.6820641,-79.3297806,2019-06-30,2019-06-30,Outside,Assault With Weapon,Assault,D54,Greenwood-Coxwell (65)
18115,43.6881485,-79.3018341,2019-06-30,2019-06-30,Outside,Robbery - Mugging,Robbery,D54,East End-Danforth (62)
18116,43.7726097,-79.1850357,2019-06-30,2019-06-30,Apartment,Assault,Assault,D43,West Hill (136)
18117,43.7212448,-79.5062637,2019-06-30,2019-06-30,Apartment,Assault With Weapon,Assault,D31,Downsview-Roding-CFB (26)
18118,43.7213898,-79.4690933,2019-06-30,2019-07-01,Commercial,B&E,Break and Enter,D32,Yorkdale-Glen Park (31)
18119,43.6561661,-79.3701248,2019-06-30,2019-06-30,Apartment,Robbery - Mugging,Robbery,D51,Moss Park (73)
18120,43.7212448,-79.5062637,2019-06-30,2019-06-30,Apartment,Assault,Assault,D31,Downsview-Roding-CFB (26)
18121,43.6672478,-79.3125916,2019-06-30,2019-06-30,Outside,Assault,Assault,D55,The Beaches (63)
18122,43.8086014,-79.2113953,2019-06-30,2019-06-30,House,Assault,Assault,D42,Malvern (132)
18123,43.6426544,-79.4021912,2019-06-30,2019-06-30,Commercial,Assault,Assault,D14,Waterfront Communities-The Island (77)
18124,43.6957626,-79.2918549,2019-06-30,2019-06-30,Other,Assault,Assault,D54,Taylor-Massey (61)
18125,43.6538544,-79.4411392,2019-06-30,2019-06-30,Other,Assault With Weapon,Assault,D11,Dufferin Grove (83)
18126,43.6459885,-79.3791351,2019-06-30,2019-06-30,Other,Assault,Assault,D52,Waterfront Communities-The Island (77)
18127,43.6561661,-79.3701248,2019-06-30,2019-06-30,Apartment,Assault Bodily Harm,Assault,D51,Moss Park (73)
